"iso","start_row","end_row","start_col","end_col","xmin_bounding","xmax_bounding","ymin_bounding","ymax_bounding"
"jam",715,724,1017,1039,-78.4,-76.1,17.6,18.6
"jey",408,409,1778,1780,-2.3,-2,49.1,49.3
"jor",567,608,2150,2193,34.9,39.3,29.2,33.4
"jpn",445,660,3030,3340,122.9,154,24,45.6
"kaz",346,495,2266,2673,46.5,87.3,40.5,55.5
"ken",846,948,2140,2219,33.9,41.9,-4.8,5.5
"kgz",468,509,2493,2603,69.2,80.3,39.1,43.3
"khm",754,802,2824,2877,102.3,107.7,9.8,14.7
"kir",853,1046,34,3569,-176.7,176.9,-14.6,4.8
"kna",726,730,1172,1175,-62.9,-62.5,17,17.5
"kor",514,570,3051,3110,125,131,33,38.7
"kwt",600,615,2266,2285,46.5,48.5,28.5,30.1
"lao",676,761,2801,2878,100,107.8,13.9,22.5
"lbn",554,570,2151,2167,35,36.7,33,34.7
"lbr",815,857,1686,1727,-11.5,-7.3,4.3,8.6
"lby",569,705,1895,2052,9.4,25.2,19.5,33.2
"lca",759,764,1190,1192,-61.1,-60.8,13.6,14.2
"lie",428,430,1896,1897,9.5,9.7,47,47.3
"lka",802,841,2596,2620,79.5,82,5.9,9.9
"lso",1186,1207,2071,2095,27,29.5,-30.7,-28.5
"ltu",336,361,2010,2069,20.9,26.9,53.9,56.5
"lux",399,406,1858,1865,5.7,6.5,49.4,50.2
"lva",320,344,2010,2083,20.9,28.3,55.6,58.1
"mac",678,680,2936,2937,113.5,113.7,22,22.3
"mar",541,624,1668,1790,-13.3,-1,27.6,36
"mco",463,463,1875,1875,7.4,7.5,43.7,43.8
"mda",416,446,2067,2102,26.6,30.2,45.4,48.5
"mdg",1020,1157,2232,2305,43.1,50.5,-25.7,-11.9
"mdv",829,908,2527,2538,72.6,73.8,-0.8,7.2
"mex",573,755,627,934,-117.4,-86.6,14.5,32.8
"mhl",754,855,3408,3522,160.7,172.2,4.5,14.7
"mkd",477,492,2005,2031,20.4,23.1,40.8,42.4
"mli",651,799,1678,1843,-12.3,4.3,10.1,25
"mlt",540,543,1942,1946,14.1,14.6,35.7,36.1
"mmr",615,805,2723,2812,92.2,101.2,9.5,28.6
"mne",465,482,1985,2004,18.4,20.4,41.8,43.6
"mng",379,485,2678,3000,87.7,120,41.5,52.2
"mnp",695,760,3249,3261,144.8,146.1,14,20.6
"moz",1005,1169,2103,2209,30.2,40.9,-26.9,-10.4
"mrt",628,753,1630,1752,-17.1,-4.8,14.7,27.3
"msr",732,734,1178,1179,-62.3,-62.1,16.6,16.9
"mtq",751,757,1188,1193,-61.3,-60.7,14.3,15
"mus",1097,1106,2373,2436,57.2,63.6,-20.6,-19.6
"mwi",994,1072,2127,2160,32.6,36,-17.2,-9.3
"mys",827,892,2797,2993,99.6,119.3,0.8,7.4
"myt",1027,1031,2251,2253,45,45.3,-13.1,-12.6
"nam",1070,1190,1918,2053,11.7,25.3,-29,-16.9
"ncl",1096,1128,3436,3482,163.5,168.2,-22.8,-19.5
"ner",665,783,1802,1960,0.1,16,11.7,23.6
"nfk",1191,1192,3479,3480,167.8,168,-29.2,-29
"nga",762,858,1827,1947,2.6,14.7,4.2,13.9
"nic",751,793,923,975,-87.8,-82.5,10.7,15
"niu",1090,1092,101,103,-170,-169.7,-19.2,-18.9
"nld",365,393,1834,1873,3.3,7.3,50.7,53.6
"nor",188,321,1847,2112,4.6,31.2,57.9,71.3
"npl",596,637,2601,2683,80,88.3,26.3,30.5
"nru",906,906,3469,3470,166.8,167,-0.6,-0.5
"nzl",1242,1381,3465,3586,166.4,178.6,-48.1,-34.1
"omn",635,734,2319,2399,51.8,59.9,16.6,26.6
"pak",531,664,2410,2554,60.9,75.4,23.6,37
"pan",804,829,970,1029,-83.1,-77.1,7.1,9.7
"pcn",1143,1145,517,518,-128.4,-128.2,-24.5,-24.2
"per",901,1084,987,1113,-81.4,-68.7,-18.4,0
"phl",689,855,2970,3067,116.9,126.7,4.5,21.2
"plw",819,872,3112,3148,131.1,134.8,2.8,8.2
"png",909,1017,3209,3395,140.8,159.5,-11.7,-0.8
"pol",352,410,1942,2042,14.1,24.2,49,54.9
"pri",715,722,1121,1148,-68,-65.2,17.8,18.6
"prk",471,525,3042,3107,124.1,130.7,37.5,43
"prt",479,574,1486,1738,-31.5,-6.2,32.6,42.2
"pry",1093,1176,1174,1258,-62.7,-54.2,-27.6,-19.2
"pse",575,588,2143,2156,34.2,35.6,31.2,32.6
"pyf",978,1177,253,452,-154.8,-134.8,-27.7,-7.7
"qat",638,655,2308,2325,50.7,52.5,24.5,26.3
"reu",1109,1114,2353,2359,55.2,55.9,-21.4,-20.8
"rou",418,464,2003,2098,20.2,29.8,43.6,48.3
"rus",82,488,1,3600,-180,180,41.2,81.9
"rwa",911,929,2089,2109,28.8,30.9,-2.9,-1
"sau",578,744,2145,2357,34.4,55.7,15.6,32.3
"sdn",669,840,2019,2186,21.8,38.6,6,23.2
"sen",734,778,1625,1687,-17.6,-11.3,12.2,16.7
"sgp",886,889,2837,2841,103.6,104.1,1.1,1.5
"shn",979,1275,1656,1744,-14.5,-5.6,-37.5,-7.8
"sjm",92,157,1905,2098,10.4,29.8,74.3,80.9
"slb",951,1024,3356,3489,155.5,168.9,-12.4,-5
"sle",801,831,1667,1698,-13.4,-10.2,6.9,10
"slv",756,769,899,924,-90.2,-87.6,13.1,14.5
"smr",461,461,1925,1925,12.4,12.5,43.9,44
"som",781,917,2211,2315,41,51.5,-1.7,12
"spm",429,433,1236,1239,-56.5,-56.1,46.7,47.2
"srb",439,478,1989,2030,18.8,23,42.2,46.2
"srb (kosovo)",468,482,2000,2018,19.9,21.8,41.8,43.3
"ssd",778,865,2042,2154,24.1,35.4,3.5,12.3
"stp",883,900,1865,1875,6.4,7.5,0,1.8
"sur",840,882,1220,1261,-58.1,-53.9,1.8,6.1
"svk",405,423,1969,2026,16.8,22.6,47.7,49.6
"svn",432,446,1934,1966,13.3,16.6,45.4,46.9
"swe",210,347,1910,2042,10.9,24.2,55.3,69.1
"swz",1158,1174,2108,2122,30.7,32.2,-27.4,-25.7
"sxm",720,720,1169,1170,-63.2,-63,18,18.1
"syc",943,949,2354,2359,55.3,55.9,-4.9,-4.2
"syr",528,577,2158,2224,35.7,42.4,32.3,37.3
"tca",681,689,1076,1090,-72.5,-71,21.1,22
"tcd",666,826,1935,2040,13.4,24,7.4,23.5
"tgo",789,840,1799,1818,-0.2,1.8,6,11.2
"tha",696,844,2774,2857,97.3,105.7,5.6,20.5
"tjk",490,534,2474,2552,67.3,75.2,36.6,41.1
"tkl",986,995,75,89,-172.6,-171.1,-9.5,-8.5
"tkm",473,549,2325,2467,52.4,66.7,35.1,42.8
"tls",982,995,3041,3074,124,127.4,-9.5,-8.1
"ton",1060,1124,38,63,-176.3,-173.7,-22.4,-15.9
"tto",787,800,1181,1196,-62,-60.4,10,11.4
"tun",527,598,1876,1916,7.5,11.6,30.2,37.4
"tur",479,542,2057,2249,25.6,44.9,35.8,42.2
"tuv",957,1008,3561,3599,176,179.9,-10.8,-5.6
"twn",647,682,2983,3021,118.2,122.1,21.8,25.4
"tza",911,1018,2096,2205,29.5,40.5,-11.8,-1
"uga",858,915,2096,2151,29.5,35.1,-1.5,4.3
"ukr",377,457,2022,2203,22.1,40.3,44.3,52.4
"ury",1201,1250,1216,1269,-58.5,-53.1,-35,-30
"usa",186,712,9,3598,-179.2,179.8,18.8,71.5
"uzb",445,528,2361,2532,56,73.2,37.2,45.6
"vct",766,777,1185,1190,-61.6,-61,12.3,13.5
"ven",778,893,1067,1203,-73.4,-59.7,0.7,12.3
"vgb",713,717,1153,1158,-64.8,-64.2,18.3,18.8
"vir",716,724,1149,1155,-65.2,-64.5,17.6,18.5
"vnm",667,815,2822,2895,102.1,109.5,8.5,23.4
"vut",1031,1103,3466,3503,166.5,170.3,-20.3,-13
"wlf",1033,1045,18,39,-178.3,-176.1,-14.5,-13.2
"wsm",1035,1041,72,87,-172.9,-171.3,-14.1,-13.4
"yem",711,780,2218,2346,41.7,54.6,12,19
"zaf",1122,1249,1965,2130,16.4,33,-34.9,-22.1
"zmb",983,1081,2021,2137,22,33.7,-18.1,-8.2
"zwe",1057,1125,2053,2131,25.2,33.1,-22.5,-15.6
